삼성전자 5대 역량,역량사전 키워드,설명
몰입촉진,도전,현재 수준에 만족하지 않고 도전적인 목표를 수립하여 적극적으로 이를 달성하고자 하는 자세
몰입촉진,자신감,"자신의 역량에 대해 믿고, 극단적으로 도전적인 상황에 자신을 참여 시키고자 하고 개인적 위험을 감수하고도 그것을 반드시 이루어내겠다는 태도"
몰입촉진,갈등 관리,갈등에 적극적으로 개입하여 이해관계 등을 조정함으로써 모두에게 유익한 결과 창출을 도모하는 능력
몰입촉진,관계 형성,내/외부 고객을 비롯한 업무상 접하게 되는 타인에 대한 폭넓은 이해를 바탕으로 본인의 업무수행 및 조직성과 향상에 유익한 공식적/비공식적 인간관계와 신뢰를 구축하는 능력
몰입촉진,조직헌신성,"조직이 자신에게 요구하는 성과책임과 성과목표 등을 명확하게 이해하고, 이의 달성을 위해 헌신하고 희생하려는 경향"
몰입촉진,정보수집력,사람과 사물에 대해 좀더 알고 싶은 욕구와 강한 호기심으로 정보를 수집하려는 성향
몰입촉진,치밀성,상황에 세세하게 개입하여 업무를 정확하게 처리할 수 있는 역량
미래성찰,비즈니스 통찰력,사업성과를 개선시키기 위한 기회를 파악하고 이용하는 태도
미래성찰,비전 제시,직원들이 회사의 비전을 공유하고 회사 내에서의 개인적인 경력 비전을 쌓을 있도록 지속적인 지도와 격려를 시행하려는 태도
미래성찰,혁신,끊임없이 자신을 개발하고 회사의 업무방식을 개선함으로써 회사에 새롭고 긍정적인 변화를 추진함
미래성찰,위기 관리,"위기에 대한 전략과 대처방안을 수립하여 위험을 최소화하고, 적시적으로 위기에 대응하는 역량"
미래성찰,변화 관리,"경쟁상황에서의 변화의 필요성을 인식히고, 변화를 감지하여 그것에 신속하게 적응/대응하는 역량"
미래성찰,예측력,"획득된 정보를 체계적으로 분석하고, 변화의 요인을 파악해 미래 시나리오를 구성해 적절한 가이드라인을 수립하는 역량"
성과창출,열정,적극적이고 능동적인 자세로 업무를 수행하고 자신의 분야에서 최고가 된다는 열망을 가지고 노력하는 태도
성과창출,적극성,"자발적이고 신속하게 반응하고, 진취적으로 생각하고 행동하며, 위기사항에 과감하게 대처하여 끊임없이 새로운 기회를 창출하려는 태도"
성과창출,성과지향성,현실에 안주하지 않고 도전적인 목표에 대해 구체적인 달성계획을 수립하여 기간 내 완수하기 위하여 꾸준히 노력하는 태도
성과창출,추진력,"목표를 달성하기 위한 열정과 끝까지 노력하려는 자세를 가지고 있으며, 저항이나 장애에 쉽게 굴복하지 않음"
성과창출,협상/교섭력,목표하는 바를 달성하기 위하여 내외부 고객을 설득하여 쌍방이 만족할 수 있는 방향으로 합의를 도출하는 능력
성과창출,유연성,"상황의 변화함에 따라 기존의 사고 및 업무추진 방법의 변경에 대한 필요성을 인식하고, 기존과 다른 접근을 시도하려는 성향"
성과창출,프로젝트 관리,"프로젝트 목적에 대한 명확한 이해를 바탕으로 각종 자원을 배분하고, 단계별 진행 과정을 관리하여 프로젝트를 이끌어나갈 수 있는 역량"
인재육성,육성력,조직원의 능력과 개발 니즈르 정확히 분석하여 장기적인 성장 및 개발을 효과적으로 도와주려는 성향
인재육성,지시력,상대방을 자신의 생각이나 조직의 요구에 따르게 하려는 성향
인재육성,팀리더십,"조직 내에서 리더 역할을 맡으려 하고, 조직원을 이끌고자 하는 욕구 또는 성향"
인재육성,대인이해력,"고객이나 동료/부하 등 다른 사람에 대한 긍정적인 관심을 바탕으로, 그 사람의 생각/감정 등을 정확히 이해하려는 성향 "
인재육성,대인관계력,업무와 관련된 사람뿐만 아니라 개인적인 친분관계에 있는 사람과도 우호적이고 서로 신뢰할 수 있는 인간관계를 구축하려는 성향
인재육성,의사소통력,"상대의 표현을 명확히 이해하고, 적합한 채널 및 기법을 활용하여 자신의 의사를 상대방에게 효과적으로 전달하고 이해시키는 역량"
자기관리,윤리지향성,사업이나 개인의 업무를 추진함에 있어서 정직하고 일관성 있는 업무처리와 투철한 기업윤리를 발휘하며 끝까지 책임지는 자세
자기관리,정직/공정성,"조직의 근간이 되는 기본과 원칙을 준수하며, 투명하고 정직하게 일을 처리하는 자세"
자기관리,자기개발,"끊임없이 자신을 개발하고, 회사의 업무 프로세스 및 성과 개선 방안을 지속적으로 개발하여 실무에 응용하며 끊임없이 새로운 기술과 지식의 습득을 위해 노력하려는 태도"
자기관리,프로정신,환경변화에 대한 적응력을 확보하기 위해 직무관련 동향/상품/기술 등에 관한 정보/지식을 보유하고 업무에 활용하며 지속적으로 전문지식을 쌓으려는 태도
자기관리,국제적 지식,"동종 산업의 국제적 정황과 국제환경에서의 비즈니스에 대한 이해, 그리고 다문화적인 가치관과 비즈니스 아이디어를 통합할 수 있는 능력"
자기관리,스트레스 관리,원활한 조직 생활과 업무 수행을 위하여 스스로의 스트레스를 조절하고 관리하는 역량
